Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1srYOWykolKZnA6SAN1GiA,"Spine Breaker","Skool Luv Affair (Special Addition)","BTS",2014-05-14,238529,51,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.679,0.927,0,-1.058,1,0.15,0.164,0,0.437,0.861,93.989,4
spotify:track:1dS4l6xmdgEhCZTAhdOm4N,"Serendipity (Full Length Edition)","Love Yourself 結 'Answer'","BTS",2018-08-24,276707,68,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.422,0.578,8,-7.524,1,0.0548,0.443,0,0.231,0.227,128.921,4
spotify:track:4JWbH50WabthGhmtduR8b9,"ON (Feat. Sia)","MAP OF THE SOUL : 7","BTS;Sia",2020-02-21,246816,57,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.591,0.848,9,-4.396,0,0.0828,0.137,0,0.372,0.385,105.924,4
spotify:track:4sfXQzbYjROMuEgDfJisj3,"All Night (BTS World Original Soundtrack) (Pt. 3)","All Night (BTS World Original Soundtrack) (Pt. 3)","BTS;Juice WRLD",2019-06-21,216873,62,false,,2025-09-15T13:00:30Z,"кей-поп,мелодійний реп,емо-реп","BIGHIT MUSIC",0.726,0.705,5,-4.765,1,0.121,0.194,0,0.109,0.634,120.042,4
spotify:track:7j8YcE2SKZoLkeLL0qMvkH,"Moving On","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,292519,50,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.68,0.926,0,-2.551,1,0.162,0.00223,0.0000103,0.0905,0.936,159.959,4
spotify:track:0GjWvVr7TZzceNwdSDRuXy,"Dream Glow (BTS World Original Soundtrack) (Pt. 1)","Dream Glow (BTS World Original Soundtrack) (Pt. 1)","BTS;Charli xcx",2019-06-07,187457,60,false,,2025-09-15T13:00:30Z,"кей-поп,гіперпоп,арт-поп","BIGHIT MUSIC",0.735,0.74,0,-3.837,0,0.0519,0.0967,0,0.101,0.541,141.95,4
spotify:track:1LdpcTZm0Of4Nq0FsbREKO,"Tomorrow","Skool Luv Affair (Special Addition)","BTS",2014-05-14,261574,50,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.399,0.887,1,-2.578,0,0.201,0.00946,0,0.281,0.627,128.119,4
spotify:track:6L88EH68XwlaXwvChlTS41,"Epiphany","Love Yourself 結 'Answer'","BTS",2018-08-24,240361,69,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.508,0.559,2,-6.366,0,0.0276,0.288,0,0.131,0.329,135.866,4
spotify:track:2X3UgVLSA4wYriGIQyYmMA,"Answer : Love Myself","Love Yourself 結 'Answer'","BTS",2018-08-24,251279,66,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.568,0.793,1,-3.749,1,0.0406,0.189,0,0.111,0.45,108.051,4
spotify:track:7HYJqAMbKDJYRyEfUGOCBB,"I'm Fine","Love Yourself 結 'Answer'","BTS",2018-08-24,240339,67,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.511,0.84,11,-2.781,0,0.103,0.00852,0,0.346,0.303,87.605,4
spotify:track:4YDHRtzm0OGuieCTVQjVuk,"Trivia 起 : Just Dance","Love Yourself 結 'Answer'","BTS",2018-08-24,225220,62,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.723,0.906,1,-4.777,0,0.281,0.0929,0,0.0771,0.393,125.023,4
spotify:track:2C4AmTAKoJQgfMDXFasXcY,"Intro: The Most Beautiful Moment in Life","The Most Beautiful Moment in Life: Young Forever","BTS",2016-05-02,124738,50,false,,2025-09-15T13:00:30Z,"кей-поп","BIGHIT MUSIC",0.494,0.97,7,-3.513,0,0.444,0.205,0,0.0692,0.23,92.56,4
